Name;New_Measure_31-07-2020;
Description;;
Measure-Intervall;00:00:10;
;;

Time SN:702643 (S30X):P1;SN:702643 (S30X):P1 bar;Time SN:702643 (S30X):P2;SN:702643 (S30X):P2 bar;Time SN:702643 (S30X):TOB1;SN:702643 (S30X):TOB1 °C;Time SN:702643 (S30X):TOB2;SN:702643 (S30X):TOB2 °C;Time SN:702643 (S30X):CH0;SN:702643 (S30X):CH0 bar;
7/31/2020 9:39:44 AM.973;14.4489403;7/31/2020 9:39:45 AM.000;10.8574219;7/31/2020 9:39:45 AM.032;23.0151367;7/31/2020 9:39:45 AM.064;23.0429688;7/31/2020 9:39:45 AM.096;3.5800667;
7/31/2020 9:39:54 AM.974;14.447876;7/31/2020 9:39:54 AM.996;10.856781;7/31/2020 9:39:55 AM.027;22.9956055;7/31/2020 9:39:55 AM.059;23.0234375;7/31/2020 9:39:55 AM.091;3.5763245;
7/31/2020 9:40:04 AM.974;14.4349327;7/31/2020 9:40:05 AM.007;10.8535156;7/31/2020 9:40:05 AM.042;22.9760742;7/31/2020 9:40:05 AM.075;23.0429688;7/31/2020 9:40:05 AM.106;3.5752907;
7/31/2020 9:40:14 AM.974;14.4457283;7/31/2020 9:40:15 AM.006;10.8559723;7/31/2020 9:40:15 AM.038;23.0151367;7/31/2020 9:40:15 AM.070;23.0234375;7/31/2020 9:40:15 AM.102;3.5947609;
7/31/2020 9:40:24 AM.975;14.4380188;7/31/2020 9:40:25 AM.002;10.8512268;7/31/2020 9:40:25 AM.034;22.9956055;7/31/2020 9:40:25 AM.066;23.0664062;7/31/2020 9:40:25 AM.097;3.5914307;
7/31/2020 9:40:34 AM.975;14.4209633;7/31/2020 9:40:34 AM.998;10.8522263;7/31/2020 9:40:35 AM.029;23.0151367;7/31/2020 9:40:35 AM.061;23.0429688;7/31/2020 9:40:35 AM.093;3.5757637;
7/31/2020 9:40:44 AM.975;14.4215775;7/31/2020 9:40:45 AM.009;10.8512268;7/31/2020 9:40:45 AM.041;23.0356445;7/31/2020 9:40:45 AM.073;23.0429688;7/31/2020 9:40:45 AM.105;3.5736618;
7/31/2020 9:40:54 AM.975;14.4245338;7/31/2020 9:40:55 AM.005;10.8489609;7/31/2020 9:40:55 AM.036;23.0151367;7/31/2020 9:40:55 AM.068;23.0429688;7/31/2020 9:40:55 AM.100;3.5711937;
7/31/2020 9:41:04 AM.975;14.4276505;7/31/2020 9:41:05 AM.000;10.8483429;7/31/2020 9:41:05 AM.032;22.9956055;7/31/2020 9:41:05 AM.064;23.0429688;7/31/2020 9:41:05 AM.105;3.5812302;
7/31/2020 9:41:14 AM.975;14.4192429;7/31/2020 9:41:15 AM.011;10.8487396;7/31/2020 9:41:15 AM.043;23.0356445;7/31/2020 9:41:15 AM.075;23.0429688;7/31/2020 9:41:15 AM.107;3.5684891;
7/31/2020 9:41:24 AM.975;14.4094086;7/31/2020 9:41:25 AM.007;10.8466797;7/31/2020 9:41:25 AM.039;22.9956055;7/31/2020 9:41:25 AM.071;23.0429688;7/31/2020 9:41:25 AM.103;3.5673904;
7/31/2020 9:41:34 AM.974;14.3961143;7/31/2020 9:41:35 AM.003;10.8450623;7/31/2020 9:41:35 AM.034;23.0151367;7/31/2020 9:41:35 AM.066;23.0429688;7/31/2020 9:41:35 AM.098;3.5666924;
7/31/2020 9:41:44 AM.974;14.4120522;7/31/2020 9:41:44 AM.999;10.8443146;7/31/2020 9:41:45 AM.030;23.0551758;7/31/2020 9:41:45 AM.062;23.0664062;7/31/2020 9:41:45 AM.094;3.5750389;
7/31/2020 9:41:54 AM.973;14.4146805;7/31/2020 9:41:55 AM.009;10.8422852;7/31/2020 9:41:55 AM.054;23.0356445;7/31/2020 9:41:55 AM.089;23.0664062;7/31/2020 9:41:55 AM.121;3.5646591;
7/31/2020 9:42:04 AM.973;14.3905716;7/31/2020 9:42:05 AM.005;10.8421326;7/31/2020 9:42:05 AM.036;23.0356445;7/31/2020 9:42:05 AM.068;23.0664062;7/31/2020 9:42:05 AM.101;3.5334473;
7/31/2020 9:42:14 AM.973;14.3793068;7/31/2020 9:42:15 AM.000;10.8414764;7/31/2020 9:42:15 AM.032;23.0151367;7/31/2020 9:42:15 AM.064;23.0429688;7/31/2020 9:42:15 AM.096;3.5367928;
7/31/2020 9:42:24 AM.972;14.3964996;7/31/2020 9:42:24 AM.996;10.8414764;7/31/2020 9:42:25 AM.027;23.0356445;7/31/2020 9:42:25 AM.059;23.0429688;7/31/2020 9:42:25 AM.091;3.557579;
7/31/2020 9:42:34 AM.973;14.3904152;7/31/2020 9:42:35 AM.007;10.8370895;7/31/2020 9:42:35 AM.039;23.0551758;7/31/2020 9:42:35 AM.071;23.0664062;7/31/2020 9:42:35 AM.103;3.5541115;
7/31/2020 9:42:44 AM.973;14.3805923;7/31/2020 9:42:45 AM.003;10.8362579;7/31/2020 9:42:45 AM.034;23.0356445;7/31/2020 9:42:45 AM.066;23.0664062;7/31/2020 9:42:45 AM.098;3.5500946;
7/31/2020 9:42:54 AM.973;14.3807259;7/31/2020 9:42:55 AM.008;10.8339653;7/31/2020 9:42:55 AM.040;23.0551758;7/31/2020 9:42:55 AM.073;23.0859375;7/31/2020 9:42:55 AM.105;3.5583496;
7/31/2020 9:43:04 AM.973;14.3916283;7/31/2020 9:43:05 AM.004;10.8333931;7/31/2020 9:43:05 AM.036;23.0151367;7/31/2020 9:43:05 AM.068;23.0859375;7/31/2020 9:43:05 AM.100;3.5584717;
7/31/2020 9:43:14 AM.973;14.3908539;7/31/2020 9:43:15 AM.000;10.8328438;7/31/2020 9:43:15 AM.032;23.0761719;7/31/2020 9:43:15 AM.064;23.0859375;7/31/2020 9:43:15 AM.096;3.5467644;
7/31/2020 9:43:24 AM.974;14.3674164;7/31/2020 9:43:25 AM.011;10.8320045;7/31/2020 9:43:25 AM.043;23.0356445;7/31/2020 9:43:25 AM.075;23.0859375;7/31/2020 9:43:25 AM.107;3.5382881;
7/31/2020 9:43:34 AM.974;14.3693237;7/31/2020 9:43:35 AM.006;10.8285408;7/31/2020 9:43:35 AM.039;23.0356445;7/31/2020 9:43:35 AM.070;23.0859375;7/31/2020 9:43:35 AM.103;3.5474281;
7/31/2020 9:43:44 AM.974;14.3568268;7/31/2020 9:43:45 AM.003;10.8254776;7/31/2020 9:43:45 AM.034;23.0761719;7/31/2020 9:43:45 AM.066;23.1054688;7/31/2020 9:43:45 AM.098;3.5414352;
7/31/2020 9:43:54 AM.975;14.3413391;7/31/2020 9:43:54 AM.998;10.8272171;7/31/2020 9:43:55 AM.030;23.0761719;7/31/2020 9:43:55 AM.062;23.1054688;7/31/2020 9:43:55 AM.093;3.5271912;
7/31/2020 9:44:04 AM.975;14.3506851;7/31/2020 9:44:05 AM.009;10.8245468;7/31/2020 9:44:05 AM.041;23.0761719;7/31/2020 9:44:05 AM.073;23.1054688;7/31/2020 9:44:05 AM.105;3.5239716;
7/31/2020 9:44:14 AM.976;14.3547897;7/31/2020 9:44:15 AM.005;10.8232841;7/31/2020 9:44:15 AM.037;23.0761719;7/31/2020 9:44:15 AM.068;23.125;7/31/2020 9:44:15 AM.101;3.5228844;
7/31/2020 9:44:24 AM.975;14.3731422;7/31/2020 9:44:25 AM.001;10.8214684;7/31/2020 9:44:25 AM.032;23.0551758;7/31/2020 9:44:25 AM.064;23.125;7/31/2020 9:44:25 AM.096;3.5333939;
7/31/2020 9:44:34 AM.975;14.3625259;7/31/2020 9:44:35 AM.011;10.8214645;7/31/2020 9:44:35 AM.044;23.0756836;7/31/2020 9:44:35 AM.076;23.1054688;7/31/2020 9:44:35 AM.108;3.5322495;
7/31/2020 9:44:44 AM.975;14.3511047;7/31/2020 9:44:45 AM.007;10.8199692;7/31/2020 9:44:45 AM.039;23.0761719;7/31/2020 9:44:45 AM.071;23.1054688;7/31/2020 9:44:45 AM.103;3.530632;
7/31/2020 9:44:54 AM.975;14.3529282;7/31/2020 9:44:55 AM.003;10.8178978;7/31/2020 9:44:55 AM.034;23.0761719;7/31/2020 9:44:55 AM.066;23.125;7/31/2020 9:44:55 AM.098;3.5427361;
7/31/2020 9:45:04 AM.975;14.3478508;7/31/2020 9:45:04 AM.999;10.8187523;7/31/2020 9:45:05 AM.030;23.0957031;7/31/2020 9:45:05 AM.062;23.125;7/31/2020 9:45:05 AM.094;3.5389938;
7/31/2020 9:45:14 AM.975;14.3393517;7/31/2020 9:45:15 AM.010;10.8152657;7/31/2020 9:45:15 AM.042;23.0957031;7/31/2020 9:45:15 AM.073;23.125;7/31/2020 9:45:15 AM.106;3.5286255;
7/31/2020 9:45:24 AM.976;14.3419876;7/31/2020 9:45:25 AM.006;10.8170624;7/31/2020 9:45:25 AM.037;23.0761719;7/31/2020 9:45:25 AM.069;23.1054688;7/31/2020 9:45:25 AM.101;3.522438;
7/31/2020 9:45:34 AM.976;14.3285904;7/31/2020 9:45:35 AM.002;10.8138199;7/31/2020 9:45:35 AM.033;23.0756836;7/31/2020 9:45:35 AM.065;23.140625;7/31/2020 9:45:35 AM.097;3.5103073;
7/31/2020 9:45:44 AM.976;14.3275833;7/31/2020 9:45:45 AM.012;10.8110123;7/31/2020 9:45:45 AM.044;23.0756836;7/31/2020 9:45:45 AM.076;23.140625;7/31/2020 9:45:45 AM.108;3.5232162;
7/31/2020 9:45:54 AM.975;14.3298492;7/31/2020 9:45:55 AM.008;10.812088;7/31/2020 9:45:55 AM.040;23.1152344;7/31/2020 9:45:55 AM.072;23.1054688;7/31/2020 9:45:55 AM.104;3.5247345;
7/31/2020 9:46:04 AM.975;14.3131294;7/31/2020 9:46:05 AM.004;10.8105583;7/31/2020 9:46:05 AM.035;23.0957031;7/31/2020 9:46:05 AM.067;23.125;7/31/2020 9:46:05 AM.099;3.5119858;
7/31/2020 9:46:14 AM.975;14.3173904;7/31/2020 9:46:15 AM.000;10.8099022;7/31/2020 9:46:15 AM.031;23.0761719;7/31/2020 9:46:15 AM.063;23.125;7/31/2020 9:46:15 AM.095;3.5118446;
7/31/2020 9:46:24 AM.974;14.3302765;7/31/2020 9:46:25 AM.010;10.8083229;7/31/2020 9:46:25 AM.029;23.1152344;7/31/2020 9:46:25 AM.061;23.125;7/31/2020 9:46:25 AM.093;3.5196724;
7/31/2020 9:46:34 AM.975;14.3484459;7/31/2020 9:46:35 AM.009;10.8015213;7/31/2020 9:46:35 AM.041;23.0957031;7/31/2020 9:46:35 AM.073;23.171875;7/31/2020 9:46:35 AM.105;3.5288582;
7/31/2020 9:46:44 AM.975;14.3144569;7/31/2020 9:46:45 AM.004;10.8055458;7/31/2020 9:46:45 AM.036;23.1352539;7/31/2020 9:46:45 AM.068;23.125;7/31/2020 9:46:45 AM.100;3.4849091;
7/31/2020 9:46:54 AM.976;14.294323;7/31/2020 9:46:55 AM.000;10.8040657;7/31/2020 9:46:55 AM.032;23.0957031;7/31/2020 9:46:55 AM.064;23.125;7/31/2020 9:46:55 AM.096;3.4910355;
7/31/2020 9:47:04 AM.976;14.2980309;7/31/2020 9:47:05 AM.011;10.8026695;7/31/2020 9:47:05 AM.044;23.1352539;7/31/2020 9:47:05 AM.075;23.125;7/31/2020 9:47:05 AM.107;3.5026016;
7/31/2020 9:47:14 AM.977;14.299675;7/31/2020 9:47:15 AM.007;10.7976227;7/31/2020 9:47:15 AM.039;23.1152344;7/31/2020 9:47:15 AM.071;23.171875;7/31/2020 9:47:15 AM.103;3.5090485;
7/31/2020 9:47:24 AM.976;14.3005676;7/31/2020 9:47:25 AM.003;10.79813;7/31/2020 9:47:25 AM.034;23.1152344;7/31/2020 9:47:25 AM.066;23.125;7/31/2020 9:47:25 AM.098;3.5058937;
7/31/2020 9:47:34 AM.976;14.2936897;7/31/2020 9:47:34 AM.999;10.7969398;7/31/2020 9:47:35 AM.030;23.0957031;7/31/2020 9:47:35 AM.062;23.125;7/31/2020 9:47:35 AM.094;3.5007401;
7/31/2020 9:47:44 AM.977;14.3109932;7/31/2020 9:47:45 AM.009;10.7966042;7/31/2020 9:47:45 AM.030;23.0957031;7/31/2020 9:47:45 AM.062;23.125;7/31/2020 9:47:45 AM.093;3.5103912;
7/31/2020 9:47:54 AM.977;14.3108521;7/31/2020 9:47:55 AM.009;10.7960892;7/31/2020 9:47:55 AM.041;23.1152344;7/31/2020 9:47:55 AM.073;23.140625;7/31/2020 9:47:55 AM.105;3.5088959;
7/31/2020 9:48:04 AM.977;14.3039551;7/31/2020 9:48:05 AM.005;10.7942047;7/31/2020 9:48:05 AM.036;23.1152344;7/31/2020 9:48:05 AM.068;23.140625;7/31/2020 9:48:05 AM.101;3.5126801;
7/31/2020 9:48:14 AM.977;14.2888832;7/31/2020 9:48:15 AM.000;10.7964172;7/31/2020 9:48:15 AM.031;23.0957031;7/31/2020 9:48:15 AM.064;23.1054688;7/31/2020 9:48:15 AM.096;3.5061073;
7/31/2020 9:48:24 AM.976;14.2781067;7/31/2020 9:48:25 AM.011;10.790184;7/31/2020 9:48:25 AM.043;23.1152344;7/31/2020 9:48:25 AM.075;23.171875;7/31/2020 9:48:25 AM.107;3.5002975;
7/31/2020 9:48:34 AM.975;14.2898636;7/31/2020 9:48:35 AM.007;10.7901001;7/31/2020 9:48:35 AM.039;23.1152344;7/31/2020 9:48:35 AM.071;23.171875;7/31/2020 9:48:35 AM.106;3.4961243;
7/31/2020 9:48:44 AM.976;14.292408;7/31/2020 9:48:45 AM.003;10.7878342;7/31/2020 9:48:45 AM.034;23.0957031;7/31/2020 9:48:45 AM.066;23.171875;7/31/2020 9:48:45 AM.098;3.4940376;
7/31/2020 9:48:54 AM.975;14.2898979;7/31/2020 9:48:54 AM.998;10.7877884;7/31/2020 9:48:55 AM.030;23.1352539;7/31/2020 9:48:55 AM.062;23.140625;7/31/2020 9:48:55 AM.093;3.4814491;
7/31/2020 9:49:04 AM.976;14.2909241;7/31/2020 9:49:05 AM.009;10.7894173;7/31/2020 9:49:05 AM.041;23.1152344;7/31/2020 9:49:05 AM.073;23.125;7/31/2020 9:49:05 AM.105;3.4930153;
7/31/2020 9:49:14 AM.976;14.2937546;7/31/2020 9:49:15 AM.005;10.7834854;7/31/2020 9:49:15 AM.037;23.1152344;7/31/2020 9:49:15 AM.069;23.140625;7/31/2020 9:49:15 AM.100;3.5106125;
7/31/2020 9:49:24 AM.976;14.2963676;7/31/2020 9:49:25 AM.001;10.7835617;7/31/2020 9:49:25 AM.032;23.0957031;7/31/2020 9:49:25 AM.064;23.140625;7/31/2020 9:49:25 AM.096;3.5189095;
7/31/2020 9:49:34 AM.977;14.2882576;7/31/2020 9:49:35 AM.012;10.7853088;7/31/2020 9:49:35 AM.044;23.1352539;7/31/2020 9:49:35 AM.076;23.140625;7/31/2020 9:49:35 AM.108;3.5102577;
7/31/2020 9:49:44 AM.976;14.2931137;7/31/2020 9:49:45 AM.008;10.7819748;7/31/2020 9:49:45 AM.039;23.1152344;7/31/2020 9:49:45 AM.071;23.140625;7/31/2020 9:49:45 AM.103;3.5134506;
7/31/2020 9:49:54 AM.976;14.2876625;7/31/2020 9:49:55 AM.003;10.7784233;7/31/2020 9:49:55 AM.035;23.1352539;7/31/2020 9:49:55 AM.067;23.1914062;7/31/2020 9:49:55 AM.099;3.512001;
7/31/2020 9:50:04 AM.976;14.2858009;7/31/2020 9:50:04 AM.999;10.7811813;7/31/2020 9:50:05 AM.030;23.1352539;7/31/2020 9:50:05 AM.062;23.140625;7/31/2020 9:50:05 AM.094;3.4935646;
7/31/2020 9:50:14 AM.976;14.2648811;7/31/2020 9:50:15 AM.010;10.7765045;7/31/2020 9:50:15 AM.042;23.1352539;7/31/2020 9:50:15 AM.074;23.171875;7/31/2020 9:50:15 AM.106;3.4863319;
7/31/2020 9:50:24 AM.977;14.2488022;7/31/2020 9:50:25 AM.008;10.7789917;7/31/2020 9:50:25 AM.040;23.1152344;7/31/2020 9:50:25 AM.072;23.140625;7/31/2020 9:50:25 AM.104;3.4831161;
7/31/2020 9:50:34 AM.977;14.2700996;7/31/2020 9:50:35 AM.004;10.7741966;7/31/2020 9:50:35 AM.036;23.1352539;7/31/2020 9:50:35 AM.068;23.1914062;7/31/2020 9:50:35 AM.100;3.5101471;
7/31/2020 9:50:44 AM.977;14.2675209;7/31/2020 9:50:45 AM.000;10.7733154;7/31/2020 9:50:45 AM.031;23.1352539;7/31/2020 9:50:45 AM.063;23.171875;7/31/2020 9:50:45 AM.095;3.4978828;
7/31/2020 9:50:54 AM.977;14.2541542;7/31/2020 9:50:55 AM.011;10.7746124;7/31/2020 9:50:55 AM.043;23.1352539;7/31/2020 9:50:55 AM.074;23.171875;7/31/2020 9:50:55 AM.106;3.4698448;
7/31/2020 9:51:04 AM.978;14.2499428;7/31/2020 9:51:05 AM.006;10.7713547;7/31/2020 9:51:05 AM.038;23.1352539;7/31/2020 9:51:05 AM.070;23.171875;7/31/2020 9:51:05 AM.102;3.4747963;
7/31/2020 9:51:14 AM.977;14.2700768;7/31/2020 9:51:15 AM.002;10.7724724;7/31/2020 9:51:15 AM.033;23.1352539;7/31/2020 9:51:15 AM.065;23.1914062;7/31/2020 9:51:15 AM.097;3.4903412;
7/31/2020 9:51:24 AM.978;14.2551231;7/31/2020 9:51:25 AM.012;10.7708282;7/31/2020 9:51:25 AM.044;23.1352539;7/31/2020 9:51:25 AM.077;23.171875;7/31/2020 9:51:25 AM.108;3.4728889;
7/31/2020 9:51:34 AM.978;14.2256737;7/31/2020 9:51:35 AM.009;10.7678032;7/31/2020 9:51:35 AM.040;23.1352539;7/31/2020 9:51:35 AM.072;23.203125;7/31/2020 9:51:35 AM.104;3.4614029;
7/31/2020 9:51:44 AM.979;14.2261887;7/31/2020 9:51:45 AM.004;10.7703476;7/31/2020 9:51:45 AM.036;23.1557617;7/31/2020 9:51:45 AM.067;23.171875;7/31/2020 9:51:45 AM.100;3.4637833;
7/31/2020 9:51:54 AM.979;14.2293129;7/31/2020 9:51:55 AM.015;10.7697144;7/31/2020 9:51:55 AM.047;23.175293;7/31/2020 9:51:55 AM.079;23.140625;7/31/2020 9:51:55 AM.111;3.4690056;
7/31/2020 9:52:04 AM.980;14.2345505;7/31/2020 9:52:05 AM.010;10.7663078;7/31/2020 9:52:05 AM.042;23.1557617;7/31/2020 9:52:05 AM.074;23.1914062;7/31/2020 9:52:05 AM.106;3.4698524;
7/31/2020 9:52:14 AM.979;14.2274246;7/31/2020 9:52:15 AM.006;10.7650337;7/31/2020 9:52:15 AM.038;23.1557617;7/31/2020 9:52:15 AM.070;23.1914062;7/31/2020 9:52:15 AM.102;3.463459;
7/31/2020 9:52:24 AM.979;14.2281189;7/31/2020 9:52:25 AM.002;10.7618294;7/31/2020 9:52:25 AM.033;23.1557617;7/31/2020 9:52:25 AM.065;23.2226562;7/31/2020 9:52:25 AM.097;3.4568291;
7/31/2020 9:52:34 AM.979;14.2239304;7/31/2020 9:52:35 AM.013;10.7636909;7/31/2020 9:52:35 AM.045;23.1152344;7/31/2020 9:52:35 AM.077;23.1914062;7/31/2020 9:52:35 AM.109;3.4581032;
7/31/2020 9:52:44 AM.979;14.2139397;7/31/2020 9:52:45 AM.009;10.7620964;7/31/2020 9:52:45 AM.040;23.175293;7/31/2020 9:52:45 AM.072;23.1914062;7/31/2020 9:52:45 AM.104;3.4630356;
7/31/2020 9:52:54 AM.980;14.2083015;7/31/2020 9:52:55 AM.004;10.7606621;7/31/2020 9:52:55 AM.036;23.175293;7/31/2020 9:52:55 AM.068;23.1914062;7/31/2020 9:52:55 AM.100;3.4603119;
7/31/2020 9:53:04 AM.979;14.1951599;7/31/2020 9:53:05 AM.000;10.7579536;7/31/2020 9:53:05 AM.032;23.1953125;7/31/2020 9:53:05 AM.063;23.203125;7/31/2020 9:53:05 AM.095;3.4359703;
7/31/2020 9:53:14 AM.978;14.2050133;7/31/2020 9:53:15 AM.011;10.7570534;7/31/2020 9:53:15 AM.043;23.175293;7/31/2020 9:53:15 AM.075;23.203125;7/31/2020 9:53:15 AM.107;3.4401779;
7/31/2020 9:53:24 AM.978;14.2128944;7/31/2020 9:53:25 AM.007;10.7566948;7/31/2020 9:53:25 AM.038;23.175293;7/31/2020 9:53:25 AM.070;23.1914062;7/31/2020 9:53:25 AM.102;3.437973;
7/31/2020 9:53:34 AM.977;14.2203674;7/31/2020 9:53:35 AM.002;10.7564507;7/31/2020 9:53:35 AM.032;23.1953125;7/31/2020 9:53:35 AM.064;23.203125;7/31/2020 9:53:35 AM.097;3.4430046;
7/31/2020 9:53:44 AM.977;14.1988792;7/31/2020 9:53:45 AM.012;10.7553291;7/31/2020 9:53:45 AM.044;23.175293;7/31/2020 9:53:45 AM.076;23.2226562;7/31/2020 9:53:45 AM.108;3.4383087;
7/31/2020 9:53:54 AM.977;14.2026329;7/31/2020 9:53:55 AM.008;10.7522469;7/31/2020 9:53:55 AM.039;23.175293;7/31/2020 9:53:55 AM.071;23.2226562;7/31/2020 9:53:55 AM.103;3.4580231;
7/31/2020 9:54:04 AM.978;14.1930351;7/31/2020 9:54:05 AM.003;10.7539558;7/31/2020 9:54:05 AM.034;23.175293;7/31/2020 9:54:05 AM.066;23.1914062;7/31/2020 9:54:05 AM.098;3.4560013;
7/31/2020 9:54:14 AM.978;14.2042542;7/31/2020 9:54:15 AM.013;10.7512093;7/31/2020 9:54:15 AM.046;23.1953125;7/31/2020 9:54:15 AM.078;23.1914062;7/31/2020 9:54:15 AM.109;3.4567375;
7/31/2020 9:54:24 AM.977;14.1903038;7/31/2020 9:54:25 AM.009;10.7474785;7/31/2020 9:54:25 AM.041;23.175293;7/31/2020 9:54:25 AM.073;23.203125;7/31/2020 9:54:25 AM.105;3.4390259;
7/31/2020 9:54:34 AM.976;14.1863136;7/31/2020 9:54:35 AM.004;10.7501488;7/31/2020 9:54:35 AM.036;23.175293;7/31/2020 9:54:35 AM.068;23.1914062;7/31/2020 9:54:35 AM.100;3.4356689;
7/31/2020 9:54:44 AM.976;14.1751175;7/31/2020 9:54:45 AM.000;10.7480278;7/31/2020 9:54:45 AM.032;23.1557617;7/31/2020 9:54:45 AM.064;23.1914062;7/31/2020 9:54:45 AM.096;3.4244347;
7/31/2020 9:54:54 AM.977;14.1491203;7/31/2020 9:54:55 AM.011;10.7465553;7/31/2020 9:54:55 AM.043;23.175293;7/31/2020 9:54:55 AM.075;23.2226562;7/31/2020 9:54:55 AM.107;3.4015656;
7/31/2020 9:55:04 AM.977;14.1201897;7/31/2020 9:55:05 AM.007;10.749073;7/31/2020 9:55:05 AM.039;23.175293;7/31/2020 9:55:05 AM.071;23.203125;7/31/2020 9:55:05 AM.103;3.3869324;
7/31/2020 9:55:14 AM.976;14.1389046;7/31/2020 9:55:15 AM.003;10.7450294;7/31/2020 9:55:15 AM.035;23.175293;7/31/2020 9:55:15 AM.066;23.203125;7/31/2020 9:55:15 AM.098;3.40802;
7/31/2020 9:55:24 AM.976;14.1404419;7/31/2020 9:55:24 AM.999;10.7440758;7/31/2020 9:55:25 AM.030;23.1953125;7/31/2020 9:55:25 AM.062;23.203125;7/31/2020 9:55:25 AM.094;3.3910866;
7/31/2020 9:55:34 AM.976;14.1264381;7/31/2020 9:55:35 AM.009;10.7432365;7/31/2020 9:55:35 AM.041;23.175293;7/31/2020 9:55:35 AM.073;23.2539062;7/31/2020 9:55:35 AM.105;3.3628464;
7/31/2020 9:55:44 AM.976;14.1027145;7/31/2020 9:55:45 AM.005;10.7411613;7/31/2020 9:55:45 AM.037;23.1953125;7/31/2020 9:55:45 AM.069;23.2226562;7/31/2020 9:55:45 AM.101;3.3521614;
7/31/2020 9:55:54 AM.977;14.100914;7/31/2020 9:55:55 AM.001;10.7392464;7/31/2020 9:55:55 AM.032;23.1953125;7/31/2020 9:55:55 AM.064;23.2226562;7/31/2020 9:55:55 AM.096;3.3596077;
7/31/2020 9:56:04 AM.977;14.102684;7/31/2020 9:56:05 AM.012;10.7398109;7/31/2020 9:56:05 AM.044;23.1953125;7/31/2020 9:56:05 AM.075;23.2226562;7/31/2020 9:56:05 AM.108;3.3613777;
7/31/2020 9:56:14 AM.977;14.0614433;7/31/2020 9:56:15 AM.007;10.7379646;7/31/2020 9:56:15 AM.039;23.175293;7/31/2020 9:56:15 AM.071;23.2539062;7/31/2020 9:56:15 AM.103;3.3296814;
7/31/2020 9:56:24 AM.978;14.030632;7/31/2020 9:56:25 AM.003;10.7366447;7/31/2020 9:56:25 AM.035;23.1953125;7/31/2020 9:56:25 AM.067;23.265625;7/31/2020 9:56:25 AM.099;3.3055305;
7/31/2020 9:56:34 AM.978;14.0067062;7/31/2020 9:56:35 AM.014;10.7374153;7/31/2020 9:56:35 AM.046;23.1953125;7/31/2020 9:56:35 AM.078;23.2539062;7/31/2020 9:56:35 AM.110;3.2796745;
7/31/2020 9:56:44 AM.977;14.0053635;7/31/2020 9:56:45 AM.009;10.7376289;7/31/2020 9:56:45 AM.042;23.2148438;7/31/2020 9:56:45 AM.073;23.203125;7/31/2020 9:56:45 AM.106;3.2632332;
7/31/2020 9:56:54 AM.977;13.9937592;7/31/2020 9:56:55 AM.005;10.7367058;7/31/2020 9:56:55 AM.037;23.2148438;7/31/2020 9:56:55 AM.069;23.203125;7/31/2020 9:56:55 AM.101;3.255291;
7/31/2020 9:57:04 AM.977;13.9739761;7/31/2020 9:57:05 AM.001;10.7345314;7/31/2020 9:57:05 AM.033;23.2548828;7/31/2020 9:57:05 AM.064;23.2226562;7/31/2020 9:57:05 AM.097;3.2384453;
7/31/2020 9:57:14 AM.977;13.9879532;7/31/2020 9:57:15 AM.012;10.7313881;7/31/2020 9:57:15 AM.044;23.2148438;7/31/2020 9:57:15 AM.076;23.2539062;7/31/2020 9:57:15 AM.108;3.2622948;
7/31/2020 9:57:24 AM.978;13.9756508;7/31/2020 9:57:25 AM.008;10.7315102;7/31/2020 9:57:25 AM.039;23.2353516;7/31/2020 9:57:25 AM.071;23.2539062;7/31/2020 9:57:25 AM.103;3.2599487;
7/31/2020 9:57:34 AM.977;13.9828873;7/31/2020 9:57:35 AM.003;10.7302971;7/31/2020 9:57:35 AM.034;23.1953125;7/31/2020 9:57:35 AM.066;23.2539062;7/31/2020 9:57:35 AM.098;3.253582;
7/31/2020 9:57:44 AM.977;13.9612274;7/31/2020 9:57:45 AM.014;10.7283516;7/31/2020 9:57:45 AM.046;23.2548828;7/31/2020 9:57:45 AM.078;23.265625;7/31/2020 9:57:45 AM.110;3.2224159;
7/31/2020 9:57:54 AM.977;13.9556007;7/31/2020 9:57:55 AM.010;10.724247;7/31/2020 9:57:55 AM.042;23.2353516;7/31/2020 9:57:55 AM.074;23.2851562;7/31/2020 9:57:55 AM.106;3.2138367;
7/31/2020 9:58:04 AM.976;13.940464;7/31/2020 9:58:05 AM.005;10.7283287;7/31/2020 9:58:05 AM.037;23.2744141;7/31/2020 9:58:05 AM.069;23.2539062;7/31/2020 9:58:05 AM.101;3.2080688;
7/31/2020 9:58:14 AM.976;13.9409523;7/31/2020 9:58:15 AM.001;10.7249718;7/31/2020 9:58:15 AM.033;23.2353516;7/31/2020 9:58:15 AM.064;23.2851562;7/31/2020 9:58:15 AM.096;3.2141724;
7/31/2020 9:58:24 AM.976;13.9695778;7/31/2020 9:58:25 AM.012;10.724659;7/31/2020 9:58:25 AM.044;23.2353516;7/31/2020 9:58:25 AM.076;23.265625;7/31/2020 9:58:25 AM.119;3.2399063;
7/31/2020 9:58:34 AM.976;13.9386673;7/31/2020 9:58:35 AM.007;10.7256584;7/31/2020 9:58:35 AM.040;23.2548828;7/31/2020 9:58:35 AM.072;23.2851562;7/31/2020 9:58:35 AM.103;3.2227364;
