Name;New_Measure_31-07-2020;
Description;;
Measure-Intervall;00:00:10;
;;

Time SN:702643 (S30X):P1;SN:702643 (S30X):P1 bar;Time SN:702643 (S30X):P2;SN:702643 (S30X):P2 bar;Time SN:702643 (S30X):TOB1;SN:702643 (S30X):TOB1 °C;Time SN:702643 (S30X):TOB2;SN:702643 (S30X):TOB2 °C;Time SN:702643 (S30X):CH0;SN:702643 (S30X):CH0 bar;
7/31/2020 8:44:54 AM.948;14.0869484;7/31/2020 8:44:54 AM.979;9.0847054;7/31/2020 8:44:55 AM.011;23.949707;7/31/2020 8:44:55 AM.043;23.9882812;7/31/2020 8:44:55 AM.075;4.9981766;
7/31/2020 8:45:04 AM.948;14.0971107;7/31/2020 8:45:04 AM.975;9.0824623;7/31/2020 8:45:05 AM.006;23.949707;7/31/2020 8:45:05 AM.038;23.9882812;7/31/2020 8:45:05 AM.070;5.0054169;
7/31/2020 8:45:14 AM.948;14.1055031;7/31/2020 8:45:14 AM.971;9.0756721;7/31/2020 8:45:15 AM.002;23.949707;7/31/2020 8:45:15 AM.034;23.9882812;7/31/2020 8:45:15 AM.066;5.0215225;
7/31/2020 8:45:24 AM.949;14.1122627;7/31/2020 8:45:24 AM.981;9.0797119;7/31/2020 8:45:25 AM.013;23.9301758;7/31/2020 8:45:25 AM.045;23.9570312;7/31/2020 8:45:25 AM.077;5.0213814;
7/31/2020 8:45:34 AM.949;14.1013184;7/31/2020 8:45:34 AM.977;9.0738716;7/31/2020 8:45:35 AM.009;23.9106445;7/31/2020 8:45:35 AM.041;23.9882812;7/31/2020 8:45:35 AM.073;5.0210228;
7/31/2020 8:45:44 AM.949;14.0805855;7/31/2020 8:45:44 AM.973;9.0692825;7/31/2020 8:45:45 AM.004;23.949707;7/31/2020 8:45:45 AM.036;23.9570312;7/31/2020 8:45:45 AM.068;5.0168114;
7/31/2020 8:45:54 AM.950;14.0761909;7/31/2020 8:45:54 AM.983;9.0663071;7/31/2020 8:45:55 AM.016;23.9301758;7/31/2020 8:45:55 AM.048;24.0039062;7/31/2020 8:45:55 AM.079;5.0246086;
7/31/2020 8:46:04 AM.949;14.0618706;7/31/2020 8:46:04 AM.979;9.066124;7/31/2020 8:46:05 AM.011;23.949707;7/31/2020 8:46:05 AM.043;23.921875;7/31/2020 8:46:05 AM.075;4.9986076;
7/31/2020 8:46:14 AM.950;14.0740509;7/31/2020 8:46:14 AM.974;9.059761;7/31/2020 8:46:15 AM.006;23.9106445;7/31/2020 8:46:15 AM.038;23.9375;7/31/2020 8:46:15 AM.070;5.0038071;
7/31/2020 8:46:24 AM.949;14.0681229;7/31/2020 8:46:24 AM.985;9.0589676;7/31/2020 8:46:25 AM.017;23.9106445;7/31/2020 8:46:25 AM.049;23.9023438;7/31/2020 8:46:25 AM.082;5.0087891;
7/31/2020 8:46:34 AM.950;14.080143;7/31/2020 8:46:34 AM.981;9.0541382;7/31/2020 8:46:35 AM.013;23.9301758;7/31/2020 8:46:35 AM.045;23.9375;7/31/2020 8:46:35 AM.077;5.0249062;
7/31/2020 8:46:44 AM.950;14.0793152;7/31/2020 8:46:44 AM.977;9.051178;7/31/2020 8:46:45 AM.008;23.8896484;7/31/2020 8:46:45 AM.040;23.921875;7/31/2020 8:46:45 AM.072;5.0293808;
7/31/2020 8:46:54 AM.950;14.0574493;7/31/2020 8:46:54 AM.972;9.052948;7/31/2020 8:46:55 AM.004;23.9106445;7/31/2020 8:46:55 AM.036;23.921875;7/31/2020 8:46:55 AM.067;5.0168839;
7/31/2020 8:47:04 AM.950;14.0654755;7/31/2020 8:47:04 AM.983;9.0483398;7/31/2020 8:47:05 AM.015;23.8706055;7/31/2020 8:47:05 AM.047;23.9023438;7/31/2020 8:47:05 AM.079;5.0278854;
7/31/2020 8:47:14 AM.950;14.094223;7/31/2020 8:47:14 AM.979;9.0447769;7/31/2020 8:47:15 AM.011;23.9106445;7/31/2020 8:47:15 AM.043;23.9023438;7/31/2020 8:47:15 AM.074;5.0463257;
7/31/2020 8:47:24 AM.950;14.0777817;7/31/2020 8:47:24 AM.975;9.0410309;7/31/2020 8:47:25 AM.013;23.8896484;7/31/2020 8:47:25 AM.038;23.921875;7/31/2020 8:47:25 AM.070;5.0199051;
7/31/2020 8:47:34 AM.949;14.0488663;7/31/2020 8:47:34 AM.985;9.0392303;7/31/2020 8:47:35 AM.017;23.9106445;7/31/2020 8:47:35 AM.049;23.921875;7/31/2020 8:47:35 AM.081;4.9944611;
7/31/2020 8:47:44 AM.949;14.0433273;7/31/2020 8:47:44 AM.981;9.0398979;7/31/2020 8:47:45 AM.013;23.8706055;7/31/2020 8:47:45 AM.045;23.8554688;7/31/2020 8:47:45 AM.077;5.0059395;
7/31/2020 8:47:54 AM.948;14.0671272;7/31/2020 8:47:54 AM.977;9.0337639;7/31/2020 8:47:55 AM.008;23.8500977;7/31/2020 8:47:55 AM.040;23.875;7/31/2020 8:47:55 AM.072;5.0391388;
7/31/2020 8:48:04 AM.948;14.0624008;7/31/2020 8:48:04 AM.972;9.0287971;7/31/2020 8:48:05 AM.004;23.8706055;7/31/2020 8:48:05 AM.036;23.875;7/31/2020 8:48:05 AM.068;5.0380516;
7/31/2020 8:48:14 AM.947;14.0518303;7/31/2020 8:48:14 AM.983;9.0277023;7/31/2020 8:48:15 AM.015;23.8500977;7/31/2020 8:48:15 AM.047;23.9023438;7/31/2020 8:48:15 AM.079;5.0328178;
7/31/2020 8:48:24 AM.948;14.0580902;7/31/2020 8:48:24 AM.979;9.0277176;7/31/2020 8:48:25 AM.012;23.8706055;7/31/2020 8:48:25 AM.042;23.8359375;7/31/2020 8:48:25 AM.074;5.0314407;
7/31/2020 8:48:34 AM.948;14.0493736;7/31/2020 8:48:34 AM.979;9.0193672;7/31/2020 8:48:35 AM.011;23.8305664;7/31/2020 8:48:35 AM.043;23.875;7/31/2020 8:48:35 AM.075;5.0239258;
7/31/2020 8:48:44 AM.949;14.0545464;7/31/2020 8:48:44 AM.975;9.0172462;7/31/2020 8:48:45 AM.006;23.8500977;7/31/2020 8:48:45 AM.038;23.8554688;7/31/2020 8:48:45 AM.070;5.0376434;
7/31/2020 8:48:54 AM.950;14.0528603;7/31/2020 8:48:54 AM.986;9.0150948;7/31/2020 8:48:55 AM.018;23.8305664;7/31/2020 8:48:55 AM.050;23.875;7/31/2020 8:48:55 AM.082;5.03479;
7/31/2020 8:49:04 AM.950;14.0226784;7/31/2020 8:49:04 AM.982;9.0145454;7/31/2020 8:49:05 AM.014;23.8305664;7/31/2020 8:49:05 AM.046;23.8554688;7/31/2020 8:49:05 AM.077;5.0165558;
7/31/2020 8:49:14 AM.950;14.021801;7/31/2020 8:49:14 AM.977;9.0078239;7/31/2020 8:49:15 AM.009;23.8305664;7/31/2020 8:49:15 AM.041;23.8554688;7/31/2020 8:49:15 AM.073;5.0236206;
7/31/2020 8:49:24 AM.950;14.0337105;7/31/2020 8:49:24 AM.973;9.0069656;7/31/2020 8:49:25 AM.004;23.8115234;7/31/2020 8:49:25 AM.036;23.8203125;7/31/2020 8:49:25 AM.069;5.0270882;
7/31/2020 8:49:34 AM.950;14.0425224;7/31/2020 8:49:34 AM.984;9.0046082;7/31/2020 8:49:35 AM.016;23.8305664;7/31/2020 8:49:35 AM.048;23.8359375;7/31/2020 8:49:35 AM.080;5.0257683;
7/31/2020 8:49:44 AM.950;14.0384178;7/31/2020 8:49:44 AM.979;9.0018005;7/31/2020 8:49:45 AM.011;23.8305664;7/31/2020 8:49:45 AM.043;23.8203125;7/31/2020 8:49:45 AM.075;5.0217552;
7/31/2020 8:49:54 AM.950;14.0409355;7/31/2020 8:49:54 AM.975;8.9979172;7/31/2020 8:49:55 AM.007;23.8115234;7/31/2020 8:49:55 AM.039;23.8359375;7/31/2020 8:49:55 AM.071;5.0363426;
7/31/2020 8:50:04 AM.950;14.0611;7/31/2020 8:50:04 AM.986;8.9957047;7/31/2020 8:50:05 AM.018;23.7519531;7/31/2020 8:50:05 AM.050;23.8359375;7/31/2020 8:50:05 AM.082;5.0624504;
7/31/2020 8:50:14 AM.950;14.0474815;7/31/2020 8:50:14 AM.982;8.9921341;7/31/2020 8:50:15 AM.013;23.8305664;7/31/2020 8:50:15 AM.045;23.8203125;7/31/2020 8:50:15 AM.077;5.0554466;
7/31/2020 8:50:24 AM.950;14.029171;7/31/2020 8:50:24 AM.978;8.9902496;7/31/2020 8:50:25 AM.009;23.7905273;7/31/2020 8:50:25 AM.041;23.8203125;7/31/2020 8:50:25 AM.073;5.0496254;
7/31/2020 8:50:34 AM.949;14.0269356;7/31/2020 8:50:34 AM.973;8.9846268;7/31/2020 8:50:35 AM.004;23.7905273;7/31/2020 8:50:35 AM.036;23.8203125;7/31/2020 8:50:35 AM.068;5.0551491;
7/31/2020 8:50:44 AM.949;14.0297203;7/31/2020 8:50:44 AM.984;8.9808884;7/31/2020 8:50:45 AM.016;23.8115234;7/31/2020 8:50:45 AM.048;23.8359375;7/31/2020 8:50:45 AM.080;5.0483513;
7/31/2020 8:50:54 AM.948;14.0270348;7/31/2020 8:50:54 AM.979;8.9788208;7/31/2020 8:50:55 AM.011;23.7905273;7/31/2020 8:50:55 AM.043;23.8007812;7/31/2020 8:50:55 AM.075;5.0426521;
7/31/2020 8:51:04 AM.949;14.0010948;7/31/2020 8:51:04 AM.975;8.9777603;7/31/2020 8:51:05 AM.007;23.8115234;7/31/2020 8:51:05 AM.039;23.8007812;7/31/2020 8:51:05 AM.071;5.0261421;
7/31/2020 8:51:14 AM.949;14.0048332;7/31/2020 8:51:14 AM.971;8.973259;7/31/2020 8:51:15 AM.003;23.7714844;7/31/2020 8:51:15 AM.035;23.7773438;7/31/2020 8:51:15 AM.066;5.0436287;
7/31/2020 8:51:24 AM.949;14.0265007;7/31/2020 8:51:24 AM.982;8.9729843;7/31/2020 8:51:25 AM.014;23.7714844;7/31/2020 8:51:25 AM.046;23.8007812;7/31/2020 8:51:25 AM.078;5.0668449;
7/31/2020 8:51:34 AM.950;14.0215492;7/31/2020 8:51:34 AM.978;8.9685898;7/31/2020 8:51:35 AM.009;23.7519531;7/31/2020 8:51:35 AM.041;23.7578125;7/31/2020 8:51:35 AM.073;5.0573006;
7/31/2020 8:51:44 AM.949;14.0157509;7/31/2020 8:51:44 AM.974;8.9654083;7/31/2020 8:51:45 AM.005;23.7714844;7/31/2020 8:51:45 AM.043;23.7578125;7/31/2020 8:51:45 AM.069;5.0468712;
7/31/2020 8:51:54 AM.950;14.0320282;7/31/2020 8:51:54 AM.984;8.9639549;7/31/2020 8:51:55 AM.016;23.7119141;7/31/2020 8:51:55 AM.048;23.7382812;7/31/2020 8:51:55 AM.081;5.0556755;
7/31/2020 8:52:04 AM.950;14.0315628;7/31/2020 8:52:04 AM.980;8.963089;7/31/2020 8:52:05 AM.012;23.7119141;7/31/2020 8:52:05 AM.044;23.7773438;7/31/2020 8:52:05 AM.076;5.0469818;
7/31/2020 8:52:14 AM.950;14.0127869;7/31/2020 8:52:14 AM.976;8.9602089;7/31/2020 8:52:15 AM.007;23.7119141;7/31/2020 8:52:15 AM.039;23.71875;7/31/2020 8:52:15 AM.072;5.0511436;
7/31/2020 8:52:24 AM.950;14.0028687;7/31/2020 8:52:24 AM.972;8.954216;7/31/2020 8:52:25 AM.003;23.7314453;7/31/2020 8:52:25 AM.035;23.7578125;7/31/2020 8:52:25 AM.067;5.0524673;
7/31/2020 8:52:34 AM.950;13.996727;7/31/2020 8:52:34 AM.982;8.9526329;7/31/2020 8:52:35 AM.014;23.7314453;7/31/2020 8:52:35 AM.047;23.71875;7/31/2020 8:52:35 AM.079;5.0506554;
7/31/2020 8:52:44 AM.950;14.0044556;7/31/2020 8:52:44 AM.978;8.950222;7/31/2020 8:52:45 AM.010;23.6914062;7/31/2020 8:52:45 AM.042;23.6914062;7/31/2020 8:52:45 AM.074;5.0636711;
7/31/2020 8:52:54 AM.949;14.0132828;7/31/2020 8:52:54 AM.974;8.9499016;7/31/2020 8:52:55 AM.005;23.6914062;7/31/2020 8:52:55 AM.037;23.7382812;7/31/2020 8:52:55 AM.069;5.0702782;
7/31/2020 8:53:04 AM.949;14.0038376;7/31/2020 8:53:04 AM.984;8.941021;7/31/2020 8:53:05 AM.017;23.6914062;7/31/2020 8:53:05 AM.049;23.7382812;7/31/2020 8:53:05 AM.081;5.0611382;
7/31/2020 8:53:14 AM.950;13.9923553;7/31/2020 8:53:14 AM.980;8.9438667;7/31/2020 8:53:15 AM.012;23.7119141;7/31/2020 8:53:15 AM.044;23.71875;7/31/2020 8:53:15 AM.076;5.0451393;
7/31/2020 8:53:24 AM.950;13.9997482;7/31/2020 8:53:24 AM.976;8.9393501;7/31/2020 8:53:25 AM.008;23.671875;7/31/2020 8:53:25 AM.040;23.6914062;7/31/2020 8:53:25 AM.072;5.0680351;
7/31/2020 8:53:34 AM.950;14.0092316;7/31/2020 8:53:34 AM.987;8.9351997;7/31/2020 8:53:35 AM.019;23.6914062;7/31/2020 8:53:35 AM.051;23.71875;7/31/2020 8:53:35 AM.083;5.0879707;
7/31/2020 8:53:44 AM.949;13.9896469;7/31/2020 8:53:44 AM.982;8.9337273;7/31/2020 8:53:45 AM.014;23.6914062;7/31/2020 8:53:45 AM.046;23.6914062;7/31/2020 8:53:45 AM.078;5.0597878;
7/31/2020 8:53:54 AM.949;13.9619675;7/31/2020 8:53:54 AM.978;8.9291573;7/31/2020 8:53:55 AM.010;23.671875;7/31/2020 8:53:55 AM.042;23.6914062;7/31/2020 8:53:55 AM.074;5.0332909;
